,Sensor,Aggregate Rating,Price,Yearly Average Ped Count
0,Bourke Street Mall (North),3.037837837837838,2.0,1356.9408589818781
1,Flinders St-Spark La,3.6216216216216224,2.5945945945945947,147.0763476404691
2,QV Market-Elizabeth St (West),3.7675675675675686,2.3513513513513513,607.6168485280031
