Location,Daily Average
Town Hall (West),1448.1070925153856
Spencer St-Collins St (North),1406.2901509722165
Southbank,1251.4704685328556
Collins St (North),719.771242803256
Bourke St-Russell St (West),665.9449041379509
Chinatown-Lt Bourke St (South),424.210388127854
Flinders St-Spark La,147.41448469636367
QVM-Franklin St (North),132.5389864999007
Lygon St (East),144.74282376646582
