,Name,Aggregate Rating,Type,Price,Latitude,Longitude,Sensor ID,Sensor
374,Cafe Intimo,3.9,Cafe,3,-37.816328442,144.9601300433,36,Queen St (West)
375,Makan,4.2,Restaurant,4,-37.8162444808,144.9622774869,36,Queen St (West)
376,Daha Bar,3.3,Bar,3,-37.815695685,144.9607985839,36,Queen St (West)
378,PappaRich - Collins Express,2.5,Restaurant,3,-37.8158371222,144.9619663507,36,Queen St (West)
379,Sushi & Nori,3.6,Restaurant,3,-37.8158146088,144.9619868025,36,Queen St (West)
380,Delicious Asian Cuisine,3.5,Restaurant,2,-37.8176212198,144.9532337487,58,Bourke St - Spencer St (North)
381,Mrs. Fields Bakery Café  - Spencer Street,3.1,Cafe,1,-37.8171389138,144.952593036,58,Bourke St - Spencer St (North)
383,New Zealand Natural,3.1,Desserts,1,-37.8171256709,144.9525749311,58,Bourke St - Spencer St (North)
386,Tower Sushi,3.0,Restaurant,2,-37.8176688941,144.953071475,58,Bourke St - Spencer St (North)
387,Bon Bon Boy,3.0,Restaurant,2,-37.8160389477,144.952936694,58,Bourke St - Spencer St (North)
388,In A Rush,3.4,Cafe,2,-37.8177104766,144.952971898,58,Bourke St - Spencer St (North)
389,Higher Ground,4.2,Cafe,3,-37.815970878,144.9530480057,58,Bourke St - Spencer St (North)
390,Lindt Chocolate Cafe,3.7,Desserts,2,-37.8163260582,144.9525145814,58,Bourke St - Spencer St (North)
391,Sandwich Chefs,2.6,Cafe,2,-37.8163718793,144.9523724243,58,Bourke St - Spencer St (North)
392,Network Public Bar & Pizzeria,3.7,Bar,3,-37.8179258046,144.9532531947,58,Bourke St - Spencer St (North)
394,The Coffee Club,2.7,Cafe,3,-37.8162963937,144.9523409084,58,Bourke St - Spencer St (North)
395,May Yu Dessert,4.0,Desserts,3,-37.8157205822,144.9541232362,58,Bourke St - Spencer St (North)
396,Come Back to Earth Coffee Brewer,3.9,Cafe,1,-37.8178746874,144.9546767771,58,Bourke St - Spencer St (North)
397,Inzone Cafe,3.1,Cafe,2,-37.8180219472,144.9544159323,58,Bourke St - Spencer St (North)
398,Royal Melbourne Hotel,2.8,Restaurant,3,-37.816716728,144.9552769214,58,Bourke St - Spencer St (North)
399,BrimCC,4.6,Restaurant,2,-37.8178720389,144.9548001587,58,Bourke St - Spencer St (North)
402,Nang,3.7,Restaurant,3,-37.8181986056,144.9644936621,22,Flinders St-Elizabeth St (East)
405,Scoop't Artisan Gelato,3.1,Desserts,1,-37.8182303882,144.9644135311,22,Flinders St-Elizabeth St (East)
407,Tulip,3.9,Cafe,1,-37.8176341978,144.9658756703,22,Flinders St-Elizabeth St (East)
